shape,M,N,K,transpose,orig_pct,dl_us,nodl_us,new_pct,status
1134x2048x150000,1134,2048,150000,LHS_T,+78.3,4400.0,8730.0,-49.6,OK
576x2304x10,576,2304,10,LHS_T,+45.4,82.0,77.0,+6.5,OK
3840x3840x256,3840,3840,256,LHS_T,+40.6,93.0,85.0,+9.4,OK
1024x1024x5,1024,1024,5,LHS_T,+40.3,85.0,76.0,+11.8,OK
1024x128x150000,1024,128,150000,LHS_T,+39.4,3640.0,3950.0,-7.8,OK
1280x576x1728,1280,576,1728,RHS_T,+30.5,,,,COMPILE_FAIL_DL
128x128x2119936,128,128,2119936,LHS_T,+27.6,23500.0,26900.0,-12.6,OK
2048x2048x1285,2048,2048,1285,LHS_T,+27.3,119.0,102.0,+16.7,OK
576x3840x7680,576,3840,7680,LHS_T,+27.0,222.0,206.0,+7.8,OK
165x576x1728,165,576,1728,RHS_T,+25.8,,,,COMPILE_FAIL_DL
3072x2048x256,3072,2048,256,RHS_T,+24.1,,,,COMPILE_FAIL_DL
1024x1024x16,1024,1024,16,LHS_T,+22.7,83.0,88.0,-5.7,OK
165x576x576,165,576,576,RHS_T,+22.7,,,,COMPILE_FAIL_DL
528x576x1728,528,576,1728,RHS_T,+21.7,,,,COMPILE_FAIL_DL
5x384x384,5,384,384,RHS_T,+21.2,,,,COMPILE_FAIL_DL
20x3840x21760,20,3840,21760,LHS_T,+20.4,178.0,189.0,-5.8,OK
1728x576x528,1728,576,528,LHS_T,+19.4,94.0,77.0,+22.1,OK
16800000x134x128,16800000,134,128,RHS_T,+19.3,,,,SKIP_LARGE
10x576x576,10,576,576,RHS_T,+15.5,,,,COMPILE_FAIL_DL
528x576x576,528,576,576,RHS_T,+15.1,,,,COMPILE_FAIL_DL
576x2048x24576,576,2048,24576,LHS_T,+14.6,311.0,369.0,-15.7,OK
2048x512x24576,2048,512,24576,LHS_T,+14.6,324.0,365.0,-11.2,OK
1285x2048x8192,1285,2048,8192,RHS_T,+14.5,,,,COMPILE_FAIL_DL
10x576x2304,10,576,2304,RHS_T,+14.1,,,,COMPILE_FAIL_DL
10x576x576,10,576,576,none,+14.1,93.0,79.0,+17.7,OK
21760x3840x3840,21760,3840,3840,RHS_T,+13.8,,,,COMPILE_FAIL_DL
512x2048x24576,512,2048,24576,LHS_T,+13.4,347.0,389.0,-10.8,OK
24576x512x2048,24576,512,2048,RHS_T,+13.1,,,,COMPILE_FAIL_DL
1285x2048x2048,1285,2048,2048,RHS_T,+13.0,,,,COMPILE_FAIL_DL
24576x2048x512,24576,2048,512,RHS_T,+12.6,,,,COMPILE_FAIL_DL
1285x2048x3840,1285,2048,3840,RHS_T,+12.2,,,,COMPILE_FAIL_DL
7680x2048x512,7680,2048,512,none,+12.0,127.0,116.0,+9.5,OK
3840x2048x1285,3840,2048,1285,LHS_T,+10.2,111.0,131.0,-15.3,OK
24576x2048x512,24576,2048,512,none,+10.2,196.0,175.0,+12.0,OK
2268x4096x150000,2268,4096,150000,LHS_T,+9.7,7010.0,6540.0,+7.2,OK
1285x2048x3840,1285,2048,3840,none,+9.6,126.0,167.0,-24.6,OK
16640x3840x3840,16640,3840,3840,RHS_T,+9.6,,,,COMPILE_FAIL_DL
165x1728x576,165,1728,576,none,+9.6,91.0,87.0,+4.6,OK
2048x3840x1285,2048,3840,1285,LHS_T,+9.6,115.0,118.0,-2.5,OK
7680x576x3840,7680,576,3840,RHS_T,+9.4,,,,COMPILE_FAIL_DL
18928x512x128,18928,512,128,RHS_T,+9.2,,,,COMPILE_FAIL_DL
1280x576x576,1280,576,576,RHS_T,+9.1,,,,COMPILE_FAIL_DL
7680x512x304,7680,512,304,RHS_T,+8.9,,,,COMPILE_FAIL_DL
512x512x24576,512,512,24576,LHS_T,+8.5,320.0,358.0,-10.6,OK
4x384x5,4,384,5,LHS_T,+7.7,86.0,95.0,-9.5,OK
576x576x528,576,576,528,LHS_T,+7.6,97.0,80.0,+21.2,OK
576x2304x165,576,2304,165,LHS_T,+7.5,91.0,87.0,+4.6,OK
