name,M,N,K,transpose,batch,dtype_lhs,dtype_rhs
t01_mm_8192x2048x150000_TN,8192,2048,150000,LHS_T,,bf16,bf16
t02_mm_16384x4096x150000_TN,16384,4096,150000,LHS_T,,bf16,bf16
t03_mm_4096x16384x150000_TN,4096,16384,150000,LHS_T,,bf16,bf16
t04_mm_2048x8192x150000_TN,2048,8192,150000,LHS_T,,bf16,bf16
t05_mm_1024x128x150000_TN,1024,128,150000,LHS_T,,bf16,bf16
t06_mm_2048x2048x1285_TN,2048,2048,1285,LHS_T,,bf16,bf16
t07_mm_128x128x2119936_TN,128,128,2119936,LHS_T,,bf16,bf16
t08_mm_576x3840x7680_TN,576,3840,7680,LHS_T,,bf16,bf16
t09_mm_1134x2048x150000_TN,1134,2048,150000,LHS_T,,bf16,bf16
t10_mm_20x3840x21760_TN,20,3840,21760,LHS_T,,bf16,bf16
t11_mm_576x2048x24576_TN,576,2048,24576,LHS_T,,bf16,bf16
t12_mm_2048x512x24576_TN,2048,512,24576,LHS_T,,bf16,bf16
t13_mm_1024x1024x16_TN,1024,1024,16,LHS_T,,bf16,bf16
t14_mm_512x2048x24576_TN,512,2048,24576,LHS_T,,bf16,bf16
t15_mm_3840x2048x1285_TN,3840,2048,1285,LHS_T,,bf16,bf16
t16_mm_2268x4096x150000_TN,2268,4096,150000,LHS_T,,bf16,bf16
t17_mm_1728x576x528_TN,1728,576,528,LHS_T,,bf16,bf16
t18_mm_512x512x24576_TN,512,512,24576,LHS_T,,bf16,bf16
t19_mm_1024x1024x5_TN,1024,1024,5,LHS_T,,bf16,bf16
t20_mm_3840x3840x256_TN,3840,3840,256,LHS_T,,bf16,bf16
